TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
13/02/2018;Tepung Terigu Segitiga Biru;Kg;9500;;;;;;
13/02/2018;Ketela Pohon;Kg;5000;;;;;;
13/02/2018;Garam Beryodium Bata;250 gr;4260;;;;;;
13/02/2018;Indomie Rasa Kari Ayam;buah;2400;;;;;;
13/02/2018;Telur Ayam Kampung;butir;2250;;;;;;
14/02/2018;Daging Sapi Lokal Has Dalam;Kg;145833;;;;;;
14/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
14/02/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
14/02/2018;Ikan Teri Asin;Kg;105660;;;;;;
14/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;96667;;;;;;
14/02/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
14/02/2018;Ayam Kampung;ekor;82075;;;;;;
14/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;65000;;;;;;
14/02/2018;Cabai Rawit Merah;Kg;52560;;;;;;
14/02/2018;Cabai Merah Besar;Kg;50000;;;;;;
14/02/2018;Cabai Merah Kriting;Kg;45300;;;;;;
14/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
14/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
14/02/2018;Cabai Rawit Hijau;Kg;42540;;;;;;
14/02/2018;Ikan Kembung;Kg;39660;;;;;;
14/02/2018;Ayam Boiler;ekor;37060;;;;;;
14/02/2018;Bawang Putih Impor (Kating);Kg;33940;;;;;;
14/02/2018;Bawang Merah (Medium);Kg;29240;;;;;;
14/02/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
14/02/2018;Kacang Tanah;Kg;24140;;;;;;
14/02/2018;Telur Ayam Ras;Kg;23400;;;;;;
14/02/2018;Kacang Hijau;Kg;22700;;;;;;
14/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
14/02/2018;Gula Pasir;Kg;14140;;;;;;
14/02/2018;Beras Premium;Kg;13763;;;;;;
14/02/2018;Minyak Goreng Bimoli Botol;Liter;13360;;;;;;
14/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12460;;;;;;
14/02/2018;Minyak Goreng Curah;Liter;12425;;;;;;
14/02/2018;Kacang Kedelai Eks Impor;Kg;11925;;;;;;
14/02/2018;Beras Medium;Kg;11620;;;;;;
14/02/2018;Kacang Kedelai Lokal;Kg;11233;;;;;;
14/02/2018;Garam Beryodium Halus;Kg;10400;;;;;;
14/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
14/02/2018;Tepung Terigu Segitiga Biru;Kg;9800;;;;;;
14/02/2018;Ketela Pohon;Kg;5700;;;;;;
14/02/2018;Garam Beryodium Bata;250 gr;4360;;;;;;
14/02/2018;Indomie Rasa Kari Ayam;buah;2400;;;;;;
14/02/2018;Telur Ayam Kampung;butir;2250;;;;;;
15/02/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
15/02/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
15/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;118333;;;;;;
15/02/2018;Ikan Teri Asin;Kg;112000;;;;;;
15/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;89333;;;;;;
15/02/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
15/02/2018;Ayam Kampung;ekor;84433;;;;;;
15/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;76000;;;;;;
15/02/2018;Cabai Merah Besar;Kg;53200;;;;;;
15/02/2018;Cabai Rawit Merah;Kg;51940;;;;;;
15/02/2018;Cabai Merah Kriting;Kg;47700;;;;;;
15/02/2018;Cabai Rawit Hijau;Kg;45200;;;;;;
15/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44333;;;;;;
15/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42500;;;;;;
15/02/2018;Ikan Kembung;Kg;39660;;;;;;
15/02/2018;Ayam Boiler;ekor;37460;;;;;;
15/02/2018;Bawang Putih Impor (Kating);Kg;35740;;;;;;
15/02/2018;Bawang Merah (Medium);Kg;32260;;;;;;
15/02/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
15/02/2018;Kacang Tanah;Kg;24900;;;;;;
15/02/2018;Telur Ayam Ras;Kg;23340;;;;;;
15/02/2018;Kacang Hijau;Kg;23140;;;;;;
15/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
15/02/2018;Gula Pasir;Kg;14140;;;;;;
15/02/2018;Minyak Goreng Bimoli Botol;Liter;13640;;;;;;
15/02/2018;Beras Premium;Kg;13500;;;;;;
15/02/2018;Minyak Goreng Curah;Liter;12550;;;;;;
15/02/2018;Kacang Kedelai Eks Impor;Kg;12125;;;;;;
15/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12100;;;;;;
15/02/2018;Beras Medium;Kg;11540;;;;;;
15/02/2018;Kacang Kedelai Lokal;Kg;11333;;;;;;
15/02/2018;Garam Beryodium Halus;Kg;10260;;;;;;
15/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
15/02/2018;Tepung Terigu Segitiga Biru;Kg;10100;;;;;;
15/02/2018;Ketela Pohon;Kg;5200;;;;;;
15/02/2018;Garam Beryodium Bata;250 gr;3740;;;;;;
15/02/2018;Indomie Rasa Kari Ayam;buah;2380;;;;;;
15/02/2018;Telur Ayam Kampung;butir;2240;;;;;;
19/02/2018;Daging Sapi Lokal Has Dalam;Kg;148333;;;;;;
19/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;121667;;;;;;
19/02/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
19/02/2018;Ikan Teri Asin;Kg;108000;;;;;;
19/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;101667;;;;;;
19/02/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
19/02/2018;Ayam Kampung;ekor;84433;;;;;;
19/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;66667;;;;;;
19/02/2018;Cabai Rawit Merah;Kg;53940;;;;;;
19/02/2018;Cabai Merah Besar;Kg;49700;;;;;;
19/02/2018;Cabai Merah Kriting;Kg;44700;;;;;;
19/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44333;;;;;;
19/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42500;;;;;;
19/02/2018;Cabai Rawit Hijau;Kg;41700;;;;;;
19/02/2018;Ikan Kembung;Kg;39660;;;;;;
19/02/2018;Ayam Boiler;ekor;38460;;;;;;
19/02/2018;Bawang Putih Impor (Kating);Kg;35240;;;;;;
19/02/2018;Bawang Putih Impor (Honan);Kg;30000;;;;;;
19/02/2018;Bawang Merah (Medium);Kg;29360;;;;;;
19/02/2018;Kacang Tanah;Kg;24400;;;;;;
19/02/2018;Telur Ayam Ras;Kg;23440;;;;;;
19/02/2018;Kacang Hijau;Kg;23040;;;;;;
19/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
19/02/2018;Gula Pasir;Kg;14140;;;;;;
19/02/2018;Beras Premium;Kg;13563;;;;;;
19/02/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
19/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12500;;;;;;
19/02/2018;Minyak Goreng Curah;Liter;12363;;;;;;
19/02/2018;Kacang Kedelai Eks Impor;Kg;12250;;;;;;
19/02/2018;Beras Medium;Kg;11640;;;;;;
19/02/2018;Kacang Kedelai Lokal;Kg;11333;;;;;;
19/02/2018;Garam Beryodium Halus;Kg;11260;;;;;;
19/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
19/02/2018;Tepung Terigu Segitiga Biru;Kg;9800;;;;;;
19/02/2018;Ketela Pohon;Kg;5600;;;;;;
19/02/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
19/02/2018;Indomie Rasa Kari Ayam;buah;2380;;;;;;
19/02/2018;Telur Ayam Kampung;butir;2210;;;;;;
20/02/2018;Daging Sapi Lokal Has Dalam;Kg;145000;;;;;;
20/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;121667;;;;;;
20/02/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
20/02/2018;Ikan Teri Asin;Kg;112000;;;;;;
20/02/2018;Daging Sapi Impor Beku;Kg;109150;;;;;;
20/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;101667;;;;;;
20/02/2018;Ayam Kampung;ekor;82767;;;;;;
20/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;70000;;;;;;
20/02/2018;Cabai Rawit Merah;Kg;56940;;;;;;
20/02/2018;Cabai Merah Besar;Kg;54700;;;;;;
20/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44333;;;;;;
20/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42500;;;;;;
20/02/2018;Cabai Merah Kriting;Kg;41700;;;;;;
20/02/2018;Ikan Kembung;Kg;39660;;;;;;
20/02/2018;Cabai Rawit Hijau;Kg;36700;;;;;;
20/02/2018;Bawang Putih Impor (Kating);Kg;35240;;;;;;
20/02/2018;Ayam Boiler;ekor;34260;;;;;;
20/02/2018;Bawang Merah (Medium);Kg;27560;;;;;;
20/02/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
20/02/2018;Kacang Tanah;Kg;24400;;;;;;
20/02/2018;Kacang Hijau;Kg;23040;;;;;;
20/02/2018;Telur Ayam Ras;Kg;23040;;;;;;
20/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
20/02/2018;Gula Pasir;Kg;14140;;;;;;
20/02/2018;Minyak Goreng Bimoli Botol;Liter;13240;;;;;;
20/02/2018;Beras Premium;Kg;13063;;;;;;
20/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12500;;;;;;
20/02/2018;Minyak Goreng Curah;Liter;12363;;;;;;
20/02/2018;Kacang Kedelai Eks Impor;Kg;12250;;;;;;
20/02/2018;Garam Beryodium Halus;Kg;11860;;;;;;
20/02/2018;Kacang Kedelai Lokal;Kg;11000;;;;;;
20/02/2018;Beras Medium;Kg;10940;;;;;;
20/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
20/02/2018;Tepung Terigu Segitiga Biru;Kg;9800;;;;;;
20/02/2018;Ketela Pohon;Kg;5600;;;;;;
20/02/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
20/02/2018;Indomie Rasa Kari Ayam;buah;2380;;;;;;
20/02/2018;Telur Ayam Kampung;butir;2190;;;;;;
21/02/2018;Daging Sapi Lokal Has Dalam;Kg;144167;;;;;;
21/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;121667;;;;;;
21/02/2018;Daging Sapi Lokal Paha Belakang;Kg;121000;;;;;;
21/02/2018;Ikan Teri Asin;Kg;110410;;;;;;
21/02/2018;Daging Sapi Impor Beku;Kg;107500;;;;;;
21/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
21/02/2018;Ayam Kampung;ekor;77075;;;;;;
21/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;70000;;;;;;
21/02/2018;Cabai Rawit Merah;Kg;57660;;;;;;
21/02/2018;Cabai Merah Besar;Kg;54000;;;;;;
21/02/2018;Cabai Merah Kriting;Kg;45500;;;;;;
21/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
21/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
21/02/2018;Ikan Kembung;Kg;39460;;;;;;
21/02/2018;Cabai Rawit Hijau;Kg;39140;;;;;;
21/02/2018;Bawang Putih Impor (Kating);Kg;37500;;;;;;
21/02/2018;Ayam Boiler;ekor;34960;;;;;;
21/02/2018;Bawang Merah (Medium);Kg;28540;;;;;;
21/02/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
21/02/2018;Kacang Tanah;Kg;24840;;;;;;
21/02/2018;Telur Ayam Ras;Kg;22900;;;;;;
21/02/2018;Kacang Hijau;Kg;21900;;;;;;
21/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
21/02/2018;Gula Pasir;Kg;13740;;;;;;
21/02/2018;Beras Premium;Kg;13267;;;;;;
21/02/2018;Minyak Goreng Bimoli Botol;Liter;13000;;;;;;
21/02/2018;Minyak Goreng Curah;Liter;12300;;;;;;
21/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12110;;;;;;
21/02/2018;Kacang Kedelai Eks Impor;Kg;11488;;;;;;
21/02/2018;Beras Medium;Kg;10925;;;;;;
21/02/2018;Kacang Kedelai Lokal;Kg;10900;;;;;;
21/02/2018;Garam Beryodium Halus;Kg;10650;;;;;;
21/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
21/02/2018;Tepung Terigu Segitiga Biru;Kg;10080;;;;;;
21/02/2018;Ketela Pohon;Kg;5050;;;;;;
21/02/2018;Garam Beryodium Bata;250 gr;3865;;;;;;
21/02/2018;Indomie Rasa Kari Ayam;buah;2360;;;;;;
21/02/2018;Telur Ayam Kampung;butir;2310;;;;;;
22/02/2018;Daging Sapi Lokal Has Dalam;Kg;146667;;;;;;
22/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
22/02/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
22/02/2018;Ikan Teri Asin;Kg;101960;;;;;;
22/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;96667;;;;;;
22/02/2018;Daging Sapi Impor Beku;Kg;87500;;;;;;
22/02/2018;Ayam Kampung;ekor;75825;;;;;;
22/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;71667;;;;;;
22/02/2018;Cabai Rawit Merah;Kg;59060;;;;;;
22/02/2018;Cabai Merah Besar;Kg;49000;;;;;;
22/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
22/02/2018;Cabai Merah Kriting;Kg;44000;;;;;;
22/02/2018;Bawang Putih Impor (Kating);Kg;43300;;;;;;
22/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
22/02/2018;Ikan Kembung;Kg;39160;;;;;;
22/02/2018;Cabai Rawit Hijau;Kg;39140;;;;;;
22/02/2018;Ayam Boiler;ekor;35060;;;;;;
22/02/2018;Bawang Putih Impor (Honan);Kg;32500;;;;;;
22/02/2018;Bawang Merah (Medium);Kg;30640;;;;;;
22/02/2018;Kacang Tanah;Kg;24140;;;;;;
22/02/2018;Telur Ayam Ras;Kg;23100;;;;;;
22/02/2018;Kacang Hijau;Kg;22000;;;;;;
22/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
22/02/2018;Gula Pasir;Kg;13740;;;;;;
22/02/2018;Minyak Goreng Bimoli Botol;Liter;13388;;;;;;
22/02/2018;Beras Premium;Kg;13267;;;;;;
22/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12660;;;;;;
22/02/2018;Beras Medium;Kg;12425;;;;;;
22/02/2018;Minyak Goreng Curah;Liter;12300;;;;;;
22/02/2018;Kacang Kedelai Eks Impor;Kg;12175;;;;;;
22/02/2018;Garam Beryodium Halus;Kg;10900;;;;;;
22/02/2018;Kacang Kedelai Lokal;Kg;10900;;;;;;
22/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
22/02/2018;Tepung Terigu Segitiga Biru;Kg;9940;;;;;;
22/02/2018;Ketela Pohon;Kg;5100;;;;;;
22/02/2018;Garam Beryodium Bata;250 gr;4260;;;;;;
22/02/2018;Telur Ayam Kampung;butir;2370;;;;;;
22/02/2018;Indomie Rasa Kari Ayam;buah;2360;;;;;;
23/02/2018;Daging Sapi Lokal Has Dalam;Kg;146667;;;;;;
23/02/2018;Daging Sapi Lokal Paha Belakang;Kg;119500;;;;;;
23/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;118333;;;;;;
23/02/2018;Ikan Teri Asin;Kg;103500;;;;;;
23/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;95833;;;;;;
23/02/2018;Ayam Kampung;ekor;83667;;;;;;
23/02/2018;Daging Sapi Impor Beku;Kg;83350;;;;;;
23/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;63333;;;;;;
23/02/2018;Cabai Rawit Merah;Kg;59840;;;;;;
23/02/2018;Cabai Merah Besar;Kg;49000;;;;;;
23/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44100;;;;;;
23/02/2018;Bawang Putih Impor (Kating);Kg;43860;;;;;;
23/02/2018;Cabai Merah Kriting;Kg;43040;;;;;;
23/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;41733;;;;;;
23/02/2018;Cabai Rawit Hijau;Kg;40000;;;;;;
23/02/2018;Ikan Kembung;Kg;37960;;;;;;
23/02/2018;Bawang Putih Impor (Honan);Kg;35000;;;;;;
23/02/2018;Ayam Boiler;ekor;34260;;;;;;
23/02/2018;Bawang Merah (Medium);Kg;29900;;;;;;
23/02/2018;Kacang Tanah;Kg;23660;;;;;;
23/02/2018;Telur Ayam Ras;Kg;23000;;;;;;
23/02/2018;Kacang Hijau;Kg;21060;;;;;;
23/02/2018;Jagung Pipilan Kecil;Kg;15767;;;;;;
23/02/2018;Gula Pasir;Kg;13700;;;;;;
23/02/2018;Beras Premium;Kg;13517;;;;;;
23/02/2018;Minyak Goreng Bimoli Botol;Liter;13125;;;;;;
23/02/2018;Minyak Goreng Curah;Liter;12450;;;;;;
23/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12040;;;;;;
23/02/2018;Kacang Kedelai Eks Impor;Kg;11675;;;;;;
23/02/2018;Beras Medium;Kg;11263;;;;;;
23/02/2018;Kacang Kedelai Lokal;Kg;10433;;;;;;
23/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
23/02/2018;Tepung Terigu Segitiga Biru;Kg;9860;;;;;;
23/02/2018;Garam Beryodium Halus;Kg;9460;;;;;;
23/02/2018;Ketela Pohon;Kg;5300;;;;;;
23/02/2018;Garam Beryodium Bata;250 gr;3860;;;;;;
23/02/2018;Telur Ayam Kampung;butir;2400;;;;;;
23/02/2018;Indomie Rasa Kari Ayam;buah;2280;;;;;;
26/02/2018;Daging Sapi Lokal Has Dalam;Kg;145500;;;;;;
26/02/2018;Daging Sapi Lokal Paha Belakang;Kg;118500;;;;;;
26/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;117500;;;;;;
26/02/2018;Ikan Teri Asin;Kg;107160;;;;;;
26/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;81667;;;;;;
26/02/2018;Ayam Kampung;ekor;81450;;;;;;
26/02/2018;Daging Sapi Impor Beku;Kg;75750;;;;;;
26/02/2018;Cabai Rawit Merah;Kg;58800;;;;;;
26/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;56667;;;;;;
26/02/2018;Cabai Merah Besar;Kg;53760;;;;;;
26/02/2018;Cabai Merah Kriting;Kg;45460;;;;;;
26/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
26/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
26/02/2018;Bawang Putih Impor (Kating);Kg;42400;;;;;;
26/02/2018;Cabai Rawit Hijau;Kg;41500;;;;;;
26/02/2018;Ikan Kembung;Kg;40660;;;;;;
26/02/2018;Bawang Putih Impor (Honan);Kg;37500;;;;;;
26/02/2018;Ayam Boiler;ekor;33760;;;;;;
26/02/2018;Bawang Merah (Medium);Kg;30640;;;;;;
26/02/2018;Kacang Tanah;Kg;25140;;;;;;
26/02/2018;Telur Ayam Ras;Kg;23000;;;;;;
26/02/2018;Kacang Hijau;Kg;21200;;;;;;
26/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
26/02/2018;Gula Pasir;Kg;13640;;;;;;
26/02/2018;Beras Premium;Kg;13100;;;;;;
26/02/2018;Garam Beryodium Halus;Kg;13100;;;;;;
26/02/2018;Minyak Goreng Bimoli Botol;Liter;13000;;;;;;
26/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12660;;;;;;
26/02/2018;Minyak Goreng Curah;Liter;12550;;;;;;
26/02/2018;Kacang Kedelai Eks Impor;Kg;12175;;;;;;
26/02/2018;Beras Medium;Kg;11525;;;;;;
26/02/2018;Kacang Kedelai Lokal;Kg;10900;;;;;;
26/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
26/02/2018;Tepung Terigu Segitiga Biru;Kg;9940;;;;;;
26/02/2018;Ketela Pohon;Kg;5200;;;;;;
26/02/2018;Garam Beryodium Bata;250 gr;4060;;;;;;
26/02/2018;Telur Ayam Kampung;butir;2400;;;;;;
26/02/2018;Indomie Rasa Kari Ayam;buah;2360;;;;;;
27/02/2018;Daging Sapi Lokal Has Dalam;Kg;146667;;;;;;
27/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;123333;;;;;;
27/02/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
27/02/2018;Ikan Teri Asin;Kg;101460;;;;;;
27/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
27/02/2018;Ayam Kampung;ekor;84433;;;;;;
27/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;73333;;;;;;
27/02/2018;Daging Sapi Impor Beku;Kg;73250;;;;;;
27/02/2018;Cabai Rawit Merah;Kg;58800;;;;;;
27/02/2018;Cabai Merah Besar;Kg;54260;;;;;;
27/02/2018;Cabai Merah Kriting;Kg;45860;;;;;;
27/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
27/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
27/02/2018;Bawang Putih Impor (Kating);Kg;41700;;;;;;
27/02/2018;Cabai Rawit Hijau;Kg;41000;;;;;;
27/02/2018;Ikan Kembung;Kg;39660;;;;;;
27/02/2018;Bawang Putih Impor (Honan);Kg;35000;;;;;;
27/02/2018;Ayam Boiler;ekor;34560;;;;;;
27/02/2018;Bawang Merah (Medium);Kg;33340;;;;;;
27/02/2018;Kacang Tanah;Kg;23440;;;;;;
27/02/2018;Telur Ayam Ras;Kg;22900;;;;;;
27/02/2018;Kacang Hijau;Kg;22100;;;;;;
27/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
27/02/2018;Gula Pasir;Kg;13740;;;;;;
27/02/2018;Minyak Goreng Bimoli Botol;Liter;13388;;;;;;
27/02/2018;Beras Premium;Kg;12933;;;;;;
27/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12660;;;;;;
27/02/2018;Minyak Goreng Curah;Liter;12425;;;;;;
27/02/2018;Kacang Kedelai Eks Impor;Kg;12175;;;;;;
27/02/2018;Beras Medium;Kg;11900;;;;;;
27/02/2018;Kacang Kedelai Lokal;Kg;10900;;;;;;
27/02/2018;Garam Beryodium Halus;Kg;10300;;;;;;
27/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10140;;;;;;
27/02/2018;Tepung Terigu Segitiga Biru;Kg;9940;;;;;;
27/02/2018;Ketela Pohon;Kg;5000;;;;;;
27/02/2018;Garam Beryodium Bata;250 gr;3960;;;;;;
27/02/2018;Indomie Rasa Kari Ayam;buah;2360;;;;;;
27/02/2018;Telur Ayam Kampung;butir;2320;;;;;;
28/02/2018;Daging Sapi Lokal Has Dalam;Kg;151667;;;;;;
28/02/2018;Daging Sapi Lokal Paha Belakang;Kg;121000;;;;;;
28/02/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
28/02/2018;Ikan Teri Asin;Kg;111000;;;;;;
28/02/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
28/02/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;85000;;;;;;
28/02/2018;Ayam Kampung;ekor;83950;;;;;;
28/02/2018;Daging Sapi Lokal Daging Tetelan;Kg;63333;;;;;;
28/02/2018;Cabai Rawit Merah;Kg;59500;;;;;;
28/02/2018;Cabai Merah Besar;Kg;53540;;;;;;
28/02/2018;Cabai Merah Kriting;Kg;48500;;;;;;
28/02/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
28/02/2018;Bawang Putih Impor (Kating);Kg;44200;;;;;;
28/02/2018;Cabai Rawit Hijau;Kg;42840;;;;;;
28/02/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
28/02/2018;Bawang Putih Impor (Honan);Kg;40000;;;;;;
28/02/2018;Ikan Kembung;Kg;38660;;;;;;
28/02/2018;Bawang Merah (Medium);Kg;34740;;;;;;
28/02/2018;Ayam Boiler;ekor;33560;;;;;;
28/02/2018;Kacang Tanah;Kg;24900;;;;;;
28/02/2018;Telur Ayam Ras;Kg;22960;;;;;;
28/02/2018;Kacang Hijau;Kg;21340;;;;;;
28/02/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
28/02/2018;Gula Pasir;Kg;13340;;;;;;
28/02/2018;Kacang Kedelai Eks Impor;Kg;13250;;;;;;
28/02/2018;Susu Kental Manis Kaleng Merk Bendera;buah;12900;;;;;;
28/02/2018;Minyak Goreng Curah;Liter;12425;;;;;;
28/02/2018;Garam Beryodium Halus;Kg;11940;;;;;;
28/02/2018;Beras Medium;Kg;11113;;;;;;
28/02/2018;Kacang Kedelai Lokal;Kg;11000;;;;;;
28/02/2018;Minyak Goreng Bimoli Botol;Liter;10740;;;;;;
28/02/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10200;;;;;;
28/02/2018;Tepung Terigu Segitiga Biru;Kg;10200;;;;;;
28/02/2018;Beras Premium;Kg;9688;;;;;;
28/02/2018;Ketela Pohon;Kg;5200;;;;;;
28/02/2018;Garam Beryodium Bata;250 gr;4300;;;;;;
28/02/2018;Telur Ayam Kampung;butir;2430;;;;;;
28/02/2018;Indomie Rasa Kari Ayam;buah;2340;;;;;;
01/03/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
01/03/2018;Daging Sapi Lokal Paha Belakang;Kg;120000;;;;;;
01/03/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;118333;;;;;;
01/03/2018;Ikan Teri Asin;Kg;106000;;;;;;
01/03/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;91000;;;;;;
01/03/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
01/03/2018;Daging Sapi Lokal Daging Tetelan;Kg;79333;;;;;;
01/03/2018;Ayam Kampung;ekor;66160;;;;;;
01/03/2018;Cabai Rawit Merah;Kg;58000;;;;;;
01/03/2018;Cabai Merah Besar;Kg;52040;;;;;;
01/03/2018;Cabai Merah Kriting;Kg;47500;;;;;;
01/03/2018;Susu Bubuk Kaleng Merk Bendera;buah;44567;;;;;;
01/03/2018;Cabai Rawit Hijau;Kg;43340;;;;;;
01/03/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42833;;;;;;
01/03/2018;Bawang Putih Impor (Kating);Kg;40600;;;;;;
01/03/2018;Ikan Kembung;Kg;40160;;;;;;
01/03/2018;Ayam Boiler;ekor;37760;;;;;;
01/03/2018;Bawang Putih Impor (Honan);Kg;32500;;;;;;
01/03/2018;Bawang Merah (Medium);Kg;30740;;;;;;
01/03/2018;Kacang Tanah;Kg;24200;;;;;;
01/03/2018;Telur Ayam Ras;Kg;22860;;;;;;
01/03/2018;Kacang Hijau;Kg;22740;;;;;;
01/03/2018;Jagung Pipilan Kecil;Kg;15900;;;;;;
